,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
6702,9546.0,8495.0,8053.0,6778.0,16881.0,9394.0,6606.0,-71.6443543890167,2.180876920693918,coca,cana
6792,22759.0,22752.0,22442.0,22877.0,30501.0,27584.0,21317.0,-72.75736477245187,1.912974558056542,coca,cana
7253,10211.0,9383.0,9253.0,8818.0,18209.0,13899.0,9181.0,-72.45628127125731,2.0249426339946694,coca,cana
7273,19717.0,19489.0,18483.0,18063.0,27912.0,20711.0,15631.0,-72.43473970020152,2.1786463556165026,coca,cana
7374,42699.0,44398.0,43572.0,46172.0,50738.0,28736.0,19572.0,-71.52331279531815,2.232073975476082,coca,cana
7496,10887.0,10040.0,9641.0,9260.0,16211.0,14608.0,9925.0,-72.48657566756548,2.207747680781788,coca,cana
7562,10792.0,9964.0,9303.0,8811.0,16170.0,13456.0,9250.0,-72.51183165565836,2.175251400891272,coca,cana
7683,13138.0,12635.0,13077.0,14104.0,20015.0,21407.0,18434.0,-75.15699479349708,1.3209909319448023,coca,cana
7692,11773.0,10858.0,10150.0,9796.0,8493.0,5643.0,5391.0,-74.45743802268882,1.9427250419342774,coca,cana
7717,9711.0,8780.0,8038.0,7090.0,15356.0,9687.0,6688.0,-75.9401032283055,1.369258512149539,coca,cana
7764,10606.0,9806.0,9292.0,8996.0,16415.0,15226.0,10434.0,-72.42575609048629,1.8955598191450949,coca,cana
7846,14579.0,14026.0,14021.0,13649.0,23661.0,20955.0,14487.0,-72.37112187512365,2.1853142190767545,coca,cana
7888,10288.0,9428.0,9096.0,8045.0,18780.0,15513.0,10385.0,-75.94739085890798,1.387709500580647,coca,cana
7979,10504.0,9706.0,9820.0,8803.0,19857.0,15517.0,9727.0,-72.52464610335372,2.168357996674576,coca,cana
7981,9950.0,8960.0,8366.0,7014.0,18213.0,9632.0,6431.0,-71.93579651876821,1.5726414091568295,coca,cana
8155,10299.0,9431.0,8931.0,8311.0,19695.0,15484.0,10220.0,-72.09115398569624,1.404533317229077,coca,cana
8381,12501.0,11607.0,10953.0,10819.0,14377.0,11835.0,9578.0,-75.45972570895981,0.4422635095510845,coca,cana
8402,12189.0,11313.0,10869.0,11160.0,8298.0,4855.0,4842.0,-75.46188280865287,0.4468773510158006,coca,cana
8412,23193.0,23270.0,22031.0,22922.0,28738.0,27544.0,21550.0,-72.73456184631189,1.9331490547426282,coca,cana
